asset_id,title,download_url,tags,duration,status,mood_motion
1,Sample Water Slide Action,https://sample-video-url-1.mp4,water slide action fun adventure splash,5.2,ok,0.8
2,Jumanji Adventure Scene,https://sample-video-url-2.mp4,jumanji adventure jungle wild exciting,4.8,ok,0.9
3,Kids Playing Water,https://sample-video-url-3.mp4,kids playing water fun splash happy,3.5,ok,0.7
4,Extreme Water Sports,https://sample-video-url-4.mp4,extreme water sports action adrenaline,6.1,ok,0.9
5,Pool Fun Activities,https://sample-video-url-5.mp4,pool fun activities swimming diving,4.2,ok,0.6
6,Beach Waves Splash,https://sample-video-url-6.mp4,beach waves splash ocean water,5.8,ok,0.5
7,Water Park Adventure,https://sample-video-url-7.mp4,water park adventure slide fun family,7.3,ok,0.8
8,River Rapids Action,https://sample-video-url-8.mp4,river rapids action white water adventure,6.5,ok,0.9
9,Swimming Pool Jump,https://sample-video-url-9.mp4,swimming pool jump dive splash fun,3.2,ok,0.7
10,Waterfall Adventure,https://sample-video-url-10.mp4,waterfall adventure nature water beautiful,8.1,ok,0.4